relation	pattern
hasAcademicAdvisor	as worked;
hasAcademicAdvisor	s worked as;
hasAcademicAdvisor	[[con]] worked with;
hasAcademicAdvisor	then worked;
hasAcademicAdvisor	had worked before;
hasAcademicAdvisor	where worked under;
hasAcademicAdvisor	then worked with;
hasAcademicAdvisor	s worked on;
hasAcademicAdvisor	received [[prp]] doctorate;
hasAcademicAdvisor	received under [[det]] supervision of;
hasAcademicAdvisor	received under supervision of;
hasAcademicAdvisor	received [[prp]] wordnetPhueDue [[det]] supervision of;
hasAcademicAdvisor	was studying with;
hasAcademicAdvisor	studying [[con]];
hasAcademicAdvisor	while studying;
hasAcademicAdvisor	is studying with;
hasAcademicAdvisor	currently studying;
hasAcademicAdvisor	was studying;
hasAcademicAdvisor	was studying under;
hasAcademicAdvisor	studying [[det]];
hasAcademicAdvisor	been studying;
hasAcademicAdvisor	been studying with;
hasAcademicAdvisor	studying with;
hasAcademicAdvisor	studying under;
hasAcademicAdvisor	met;
hasAcademicAdvisor	worked as [[det]] assistant to [[det]] winter [[con]];
hasAcademicAdvisor	studied [[adj]] physics;
hasAcademicAdvisor	studied physics;
hasAcademicAdvisor	where studied physics;
hasAcademicAdvisor	work by;
hasAcademicAdvisor	work under;
hasAcademicAdvisor	[[adj]] work of;
hasAcademicAdvisor	to work where;
hasAcademicAdvisor	to work [[num]];
hasAcademicAdvisor	by work;
hasAcademicAdvisor	to work [[con]];
hasAcademicAdvisor	to work under;
hasAcademicAdvisor	s work which;
hasAcademicAdvisor	work from;
hasAcademicAdvisor	work [[det]];
hasAcademicAdvisor	to work by;
hasAcademicAdvisor	[[adj]] work to;
hasAcademicAdvisor	[[det]] work [[adj]];
hasAcademicAdvisor	[[adj]] work on;
hasAcademicAdvisor	[[prp]] work in;
hasAcademicAdvisor	[[prp]] work as;
hasAcademicAdvisor	found work for;
hasAcademicAdvisor	work with;
hasAcademicAdvisor	found work with;
hasAcademicAdvisor	[[prp]] work with;
hasAcademicAdvisor	to work [[adj]];
hasAcademicAdvisor	work which;
hasAcademicAdvisor	[[num]] work of;
hasAcademicAdvisor	to work together;
hasAcademicAdvisor	for work;
hasAcademicAdvisor	to work after;
hasAcademicAdvisor	work as;
hasAcademicAdvisor	to work while;
hasAcademicAdvisor	[[adj]] work with;
hasAcademicAdvisor	s work [[adj]];
hasAcademicAdvisor	[[det]] work by;
hasAcademicAdvisor	[[det]] work to;
hasAcademicAdvisor	s work as;
hasAcademicAdvisor	s work;
hasAcademicAdvisor	of work;
hasAcademicAdvisor	to work again;
hasAcademicAdvisor	work of;
hasAcademicAdvisor	[[mod]] work;
hasAcademicAdvisor	[[det]] work;
